"Dataset","Plot_Category","Analysis_Name","GeneSet_Name","Denester_Rank","Pathway_ID","Description","NES","GSEA_P_Value","GSEA_P_Adjust","GSEA_Q_Value","Core_Gene_Count","Term_Size","Core_Density","Unexpected_Core_Gene_Fraction","Intersection_Size_With_MSP","Core_Genes_In_MSP_Intersection","Fraction_Core_In_MSP_Intersection","Fraction_Term_Overlap_With_MSP","Jaccard_With_MSP","Denester_P_Value","Reciprocal_P_Value","Denester_Status","Versus_Pathway_ID","Versus_Pathway_Name","Is_Reciprocal","Core_Enrichment_Matched","Core_Enrichment_Raw"
"GSE282081","ATF3_correlation","2D_J2","GO_BP","1","GOBP_RNA_SPLICING","GOBP_RNA_SPLICING","1.834283761140805","0.00001892100894315624","0.1275698420777009","0.1219842100467188","123","499","0.2464929859719439","0.008064516129032258","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.0000000000000000000","0.0000000000000000000","Keep","itself","",TRUE,"THOC1/THRAP3/SUPT7L/DHX38/RBM39/CRIPT/YTHDC1/SCAF11/PRPF3/ZPR1/KAT2B/RBM17/RPUSD4/ZC3H10/GEMIN2/PPP1R9B/NSRP1/RBM48/TRRAP/AKAP17A/TAF15/ZC3H14/PRKRIP1/DHX40/DDX39B/AHNAK/RNF113A/TMBIM6/SUPT6H/SRPK2/SON/SNRPF/SNRPE/SNRPD3/UPF3A/RBM15/SFPQ/RRAGC/ATXN7/RPS26/DHX35/RBM4/RBM25/CWC22/METTL3/CTNNBL1/LUC7L/IWS1/RNPC3/RBM41/SMU1/PRPF38B/PPP1R8/TXNL4B/CWC25/SLC38A2/POLR2A/PNN/EXOSC10/PPIL3/PLRG1/PIK3R1/CDK12/LUC7L3/CWC15/CDC40/CRNKL1/RSRC1/DDX47/RBMXL1/NONO/NCBP1/MFAP1/ILDR2/RBM44/IK/ZBTB8OS/HSPA1A/HNRNPU/HNRNPL/HNRNPH1/HNRNPF/HMX2/HTATSF1/ZNF638/RBMXL2/FAM98A/GEMIN5/USP49/FRG1/PPIL2/SRRM2/MTREX/SF3B3/TARDBP/PPWD1/AFF2/GPATCH8/ZC3H13/SETX/SNW1/NCBP2/KHDC4/RBM24/ERN1/DHX8/PPP4R2/CLK1/AHNAK2/SNRNP27/CLP1/SF3A3/TCERG1/USP39/KHDRBS3/PRPF8/SLU7/DDX17/SMNDC1/SRRM1/HNRNPR/MPHOSPH10/MBNL2","THOC1/THRAP3/SUPT7L/DHX38/RBM39/CIRSR/CRIPT/YTHDC1/SCAF11/PRPF3/ZPR1/KAT2B/RBM17/RPUSD4/ZC3H10/GEMIN2/PPP1R9B/NSRP1/RBM48/TRRAP/AKAP17A/TAF15/ZC3H14/PRKRIP1/DHX40/DDX39B/AHNAK/RNF113A/TMBIM6/SUPT6H/SRPK2/SON/SNRPF/SNRPE/SNRPD3/UPF3A/RBM15/SFPQ/RRAGC/ATXN7/RPS26/DHX35/RBM4/RBM25/CWC22/METTL3/CTNNBL1/LUC7L/IWS1/RNPC3/RBM41/SMU1/PRPF38B/PPP1R8/TXNL4B/CWC25/SLC38A2/POLR2A/PNN/EXOSC10/PPIL3/PLRG1/PIK3R1/CDK12/LUC7L3/CWC15/CDC40/CRNKL1/RSRC1/DDX47/RBMXL1/NONO/NCBP1/MFAP1/ILDR2/RBM44/IK/ZBTB8OS/HSPA1A/HNRNPU/HNRNPL/HNRNPH1/HNRNPF/HMX2/HTATSF1/ZNF638/RBMXL2/FAM98A/GEMIN5/USP49/FRG1/PPIL2/SRRM2/MTREX/SF3B3/TARDBP/PPWD1/AFF2/GPATCH8/ZC3H13/SETX/SNW1/NCBP2/KHDC4/RBM24/ERN1/DHX8/PPP4R2/CLK1/AHNAK2/SNRNP27/CLP1/SF3A3/TCERG1/USP39/KHDRBS3/PRPF8/SLU7/DDX17/SMNDC1/SRRM1/HNRNPR/MPHOSPH10/MBNL2"
"GSE282081","ATF3_correlation","2D_J2","GO_BP","2","GOBP_VESICLE_MEDIATED_TRANSPORT_BETWEEN_ENDOSOMAL_COMPARTMENTS","GOBP_VESICLE_MEDIATED_TRANSPORT_BETWEEN_ENDOSOMAL_COMPARTMENTS","2.409587536104816","0.00003508521509287704","0.1275698420777009","0.1219842100467188","20","48","0.4166666666666667","0.000000000000000000","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.0000000000000000000","0.0000000000000000000","Keep","itself","",TRUE,"STX8/MTMR2/RAB11A/HOOK3/FHIP1B/RAB7A/EZR/SORL1/AKTIP/RDX/RAB5A/PIK3C3/CHMP3/DYNC1LI1/MYO1D/MSN/DENND10/DNAJC13/LMTK2/EMP2","STX8/MTMR2/RAB11A/HOOK3/FHIP1B/RAB7A/EZR/SORL1/AKTIP/RDX/RAB5A/PIK3C3/CHMP3/DYNC1LI1/MYO1D/MSN/DENND10/DNAJC13/LMTK2/EMP2"
"GSE282081","ATF3_correlation","2D_J2","GO_BP","3","GOBP_REGULATION_OF_CHROMATIN_ORGANIZATION","GOBP_REGULATION_OF_CHROMATIN_ORGANIZATION","2.313676018330956","0.00007211081546809317","0.1747966166946578","0.1671431653364418","19","33","0.5757575757575758","0.000000000000000000","2","1","0.05263157894736842","0.060606060606060608","0.003773584905660377","0.8276515151515151381","0.4326001400391144003","Keep","GOBP_RNA_SPLICING","GOBP_RNA_SPLICING",FALSE,"L3MBTL3/TPR/TAL1/SSRP1/SETD5/PHF2/PAX7/MLLT3/KMT2A/MKI67/HNRNPU/UBN2/ASB7/TLK2/CDK2/TLK1/CDK1/ERI1/SAMD1","L3MBTL3/TPR/TAL1/SSRP1/SETD5/PHF2/PAX7/MLLT3/KMT2A/MKI67/HNRNPU/UBN2/ASB7/TLK2/CDK2/TLK1/CDK1/ERI1/SAMD1"
"GSE282081","ATF3_correlation","2D_J2","GO_BP","4","GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY","GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY","-2.198134107260039","0.00011072002417438868","0.2012890039490386","0.1924755862193418","29","117","0.2478632478632479","0.000000000000000000","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.0000000000000000000","0.0000000000000000000","Keep","itself","",TRUE,"PTGDR2/GPR83/NMU/QRFPR/PROK2/NPS/PPY/RXFP3/NMBR/GLRA2/CYSLTR1/ECRG4/SSTR4/SSTR3/NPFFR1/RELA/SORCS2/PYY/LTB4R2/NTSR1/NMB/MC5R/RXFP4/MCHR1/NPW/PCSK1N/SORCS3/NXPH4/TENM1","PTGDR2/GPR83/NMU/QRFPR/PROK2/NPS/PPY/RXFP3/NMBR/GLRA2/CYSLTR1/ECRG4/SSTR4/SSTR3/NPFFR1/RELA/SORCS2/PYY/LTB4R2/NTSR1/NMB/MC5R/RXFP4/MCHR1/NPW/PCSK1N/SORCS3/NXPH4/TENM1"
"GSE282081","ATF3_correlation","2D_J2","GO_BP","5","GOBP_CYTOPLASMIC_TRANSLATION","GOBP_CYTOPLASMIC_TRANSLATION","1.908368813457813","0.00034487409744050841","0.4151405255845336","0.3969636416180914","86","177","0.4858757062146893","0.000000000000000000","13","8","0.09302325581395349","0.073446327683615822","0.019607843137254902","0.2478705582675899133","0.0045981753960939583","Keep","GOBP_RNA_SPLICING","GOBP_RNA_SPLICING",TRUE,"GTPBP1/RPL23/RPL14/EIF2B5/EIF3H/EIF3F/EIF3D/SLBP/CPEB1/RPS26/RPS25/RPS24/RPS23/RPS20/RPS12/RPS8/RPS7/RPS3A/RPL38/RPL36AL/RPL31/RPL30/RPL27/RPL22/RPL21/RPL17/RPL15/RPL11/RPL7A/RPL6/RPL5/RBM4/METTL3/EIF3L/NCK1/NCBP1/MTIF2/HNRNPU/MCTS1/EIF2S3B/NMNAT2/NCBP2/CPEB3/RBM24/RPL22L1/EIF4G1/DHX36/NEMF/EIF2B3/EIF2B4/EIF3I/EIF3C/EIF3A/DENR/UNK/CPEB4/LIN28A/CSDE1/CNBP/EIF3CL/SH3BGRL/SARS1/RPS29/RPS27A/RPS27/RPS17/RPS13/RPS10/RPS4X/RPS3/RPLP0/RPL36A/RPL39/RPL37A/RPL37/RPL35A/RPL34/RPL32/RPL27A/RPL26/RPL24/RPL23A/RPL9/RPL7/RPL4/RPL3","GTPBP1/RPL23/RPL14/EIF2B5/EIF3H/EIF3F/EIF3D/SLBP/CPEB1/RPS26/RPS25/RPS24/RPS23/RPS20/RPS12/RPS8/RPS7/RPS3A/RPL38/RPL36AL/RPL31/RPL30/RPL27/RPL22/RPL21/RPL17/RPL15/RPL11/RPL7A/RPL6/RPL5/RBM4/METTL3/EIF3L/NCK1/NCBP1/MTIF2/HNRNPU/MCTS1/EIF2S3B/NMNAT2/NCBP2/CPEB3/RBM24/RPL22L1/EIF4G1/DHX36/NEMF/EIF2B3/EIF2B4/EIF3I/EIF3C/EIF3A/DENR/UNK/CPEB4/LIN28A/CSDE1/CNBP/EIF3CL/SH3BGRL/SARS1/RPS29/RPS27A/RPS27/RPS17/RPS13/RPS10/RPS4X/RPS3/RPLP0/RPL36A/RPL39/RPL37A/RPL37/RPL35A/RPL34/RPL32/RPL27A/RPL26/RPL24/RPL23A/RPL9/RPL7/RPL4/RPL3"
"GSE282081","ATF3_correlation","2D_J2","GO_BP","6","GOBP_NEGATIVE_REGULATION_OF_GLYCOGEN_BIOSYNTHETIC_PROCESS","GOBP_NEGATIVE_REGULATION_OF_GLYCOGEN_BIOSYNTHETIC_PROCESS","2.215182197146521","0.00042573184408381954","0.4151405255845336","0.3969636416180914","6","11","0.5454545454545454","0.000000000000000000","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.0000000000000000000","0.0000000000000000000","Keep","itself","",TRUE,"SELENOS/PRKAG3/INPP5K/ENPP1/GSK3A/GRB10","SELENOS/PRKAG3/INPP5K/ENPP1/GSK3A/GRB10"
"GSE282081","ATF3_correlation","2D_J2","GO_BP","7","GOBP_G_PROTEIN_COUPLED_ACETYLCHOLINE_RECEPTOR_SIGNALING_PATHWAY","GOBP_G_PROTEIN_COUPLED_ACETYLCHOLINE_RECEPTOR_SIGNALING_PATHWAY","-2.313603340967944","0.00044748141476889198","0.4151405255845336","0.3969636416180914","8","21","0.3809523809523809","0.000000000000000000","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.0000000000000000000","0.0000000000000000000","Keep","itself","",TRUE,"AGRN/GNA15/GNA11/PLCB1/GRK2/CHRM4/CHRM1/HRH3","AGRN/GNA15/GNA11/PLCB1/GRK2/CHRM4/CHRM1/HRH3"
"GSE282081","ATF3_correlation","2D_J2","GO_BP","8","GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_ACETYLCHOLINE_RECEPTOR_SIGNALING_PATHWAY","GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_ACETYLCHOLINE_RECEPTOR_SIGNALING_PATHWAY","-2.139860023848524","0.00061490888374682187","0.4151405255845336","0.3969636416180914","3","8","0.3750000000000000","0.000000000000000000","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.0000000000000000000","0.0000000000000000000","Keep","itself","",TRUE,"CHRM4/CHRM1/HRH3","CHRM4/CHRM1/HRH3"
"GSE282081","ATF3_correlation","2D_J2","GO_BP","9","GOBP_PHOSPHOLIPID_EFFLUX","GOBP_PHOSPHOLIPID_EFFLUX","-2.263211010878338","0.00066546277229850436","0.4151405255845336","0.3969636416180914","9","14","0.6428571428571429","0.000000000000000000","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.0000000000000000000","0.0000000000000000000","Keep","itself","",TRUE,"ABCA1/APOA5/ABCA7/APOA2/ABCG1/SPNS1/APOE/APOC2/ABCA3","ABCA1/APOA5/ABCA7/APOA2/ABCG1/SPNS1/APOE/APOC2/ABCA3"
"GSE282081","ATF3_correlation","2D_J2","GO_BP","10","GOBP_DETECTION_OF_ABIOTIC_STIMULUS","GOBP_DETECTION_OF_ABIOTIC_STIMULUS","-1.858468915134062","0.00067991528559039238","0.4151405255845336","0.3969636416180914","56","158","0.3544303797468354","0.000000000000000000","2","1","0.01785714285714286","0.012658227848101266","0.011299435028248588","0.5846972506651616497","0.6285714285714285587","Keep","GOBP_G_PROTEIN_COUPLED_ACETYLCHOLINE_RECEPTOR_SIGNALING_PATHWAY","GOBP_G_PROTEIN_COUPLED_ACETYLCHOLINE_RECEPTOR_SIGNALING_PATHWAY",FALSE,"RGS9BP/KIT/KCNQ1/JUP/ITGA2/EYS/GRIK2/GRK4/GNGT1/DISC1/SLC24A2/TAC4/BACE1/PHF24/LHFPL5/NR2F6/EPHB1/PKD1L1/STRC/GRK7/CEP250/CDS1/PKDREJ/TULP1/RGR/PRPH2/CABP2/CRB1/NMT2/REEP6/TCAP/BEST1/TNF/CXCL12/SCN9A/RPE65/GRK1/PRDM12/CABP4/PKD2/PKD1/SERPINE2/PDE6C/PJVK/NTSR1/NMT1/MYC/PKD1L3/HPN/GNA11/LRIT1/FYN/TMC1/PKD1L2/NR2E3/CDH2","RGS9BP/KIT/KCNQ1/JUP/ITGA2/EYS/GRIK2/GRK4/GNGT1/DISC1/SLC24A2/TAC4/BACE1/PHF24/LHFPL5/NR2F6/EPHB1/PKD1L1/STRC/GRK7/CEP250/CDS1/PKDREJ/TULP1/RGR/PRPH2/CABP2/CRB1/NMT2/REEP6/TCAP/BEST1/TNF/CXCL12/SCN9A/RPE65/GRK1/PRDM12/CABP4/PKD2/PKD1/SERPINE2/PDE6C/PJVK/NTSR1/NMT1/MYC/PKD1L3/HPN/GNA11/LRIT1/FYN/TMC1/PKD1L2/NR2E3/CDH2"
