"GeneID","Symbol","Ensembl","Entrez","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000160588","MPZL3","ENSG00000160588","196264",1.15525251121729,5.54272372439042,11.3002486691229,4.55074935566691e-07,0.00555727321123445,6.97532636507622
"ENSG00000177076","ACER2","ENSG00000177076","340485",1.16736965420889,3.63446165297159,10.2569724493149,1.12957066881416e-06,0.00555727321123445,5.96620921958404
"ENSG00000135679","MDM2","ENSG00000135679","4193",0.850117633129628,6.78840574810935,10.073849101689,1.33566893396117e-06,0.00555727321123445,5.92351351702526
"ENSG00000183018","SPNS2","ENSG00000183018","124976",1.56926605665512,3.67970425392823,9.62577938388218,2.03490453114438e-06,0.00634991958943603,5.43078882719871
"ENSG00000163235","TGFA","ENSG00000163235","7039",0.847463472680059,4.62680681951432,8.85925573782729,4.3462165053914e-06,0.0108498948840591,4.77155026648574
"ENSG00000116106","EPHA4","ENSG00000116106","2043",0.867098040771775,4.97185155824257,8.33973505318967,7.49203930513423e-06,0.010909302934395,4.22595559593214
"ENSG00000089472","HEPH","ENSG00000089472","9843",1.66528625473897,1.55352169552327,8.29427385222582,7.86743223183391e-06,0.010909302934395,3.71295319269992
"ENSG00000281459","PADI1","ENSG00000281459","29943",3.40176235827948,-0.99692834285869,8.28440912436853,7.95155703901472e-06,0.010909302934395,2.52826520233191
"ENSG00000134757","DSG3","ENSG00000134757","1830",1.69389037543511,2.46476890494012,8.06910301527646,1.00537955956984e-05,0.010909302934395,3.7870781089237
"ENSG00000169247","SH3TC2","ENSG00000169247","79628",1.23359898186203,1.74606334953025,8.04865423852178,1.02828310226073e-05,0.010909302934395,3.59230237001372
"ENSG00000128510","CPA4","ENSG00000128510","51200",3.71806846400913,1.25441997750113,8.01740012467375,1.06439017254158e-05,0.010909302934395,3.16586176001154
"ENSG00000235750","KIAA0040","ENSG00000235750","9674",0.794824247455573,6.80777328743326,7.99057372068113,1.09648013720111e-05,0.010909302934395,3.79928640405713
"ENSG00000135919","SERPINE2","ENSG00000135919","5270",0.848920238773747,4.43424448261457,7.95852176334424,1.1362036384164e-05,0.010909302934395,3.82830948894412
"ENSG00000026103","FAS","ENSG00000026103","355",0.925264009744921,4.39227016460632,7.83207729847306,1.30883577058152e-05,0.0113494003749448,3.69003120145074
"ENSG00000164938","TP53INP1","ENSG00000164938","94241",1.08165594925572,4.67566205756951,7.75592055436708,1.42639527307718e-05,0.0113494003749448,3.5952769901474
"ENSG00000124762","CDKN1A","ENSG00000124762","1026",1.7526808001939,8.38370947968759,7.7385283581667,1.45481818618103e-05,0.0113494003749448,3.56263451027619
"ENSG00000171617","ENC1","ENSG00000171617","8507",0.825311082252776,6.4756180652245,7.63039889211091,1.64589557960763e-05,0.0120847462498014,3.38633605131866
"ENSG00000075223","SEMA3C","ENSG00000075223","10512",0.758658512558037,4.38703320482804,7.51302381077936,1.88455988363987e-05,0.012403554350754,3.32771502505776
"ENSG00000156804","FBXO32","ENSG00000156804","114907",1.68128252174023,2.15161945390711,7.49493916860918,1.92455318655481e-05,0.012403554350754,3.1598404060936
